11:48am,9 Wild Dogs stationary,"H1-2, N side of Sand River Bridge, sitting in the riverbed, have to be on the bridge to see them. Near Skukuza",5/5,ToyahM,"Dec 7, 2023 · 9:54 AM UTC"
10:21am,1 Lion on the move,"H4-1, 4.4km W of H12 Near Skukuza",5/5,ToyahM,"Dec 7, 2023 · 9:23 AM UTC"
10:30am,1 Leopard,"H4-1, 2.5km W of S79 N entrance (500m from Hyena) very close to road Near Lower Sabie",5/5,Abdullah,"Dec 7, 2023 · 9:07 AM UTC"
10:00am,1 Spotted Hyena,"H4-1, 3km W of S79 N entrance Near Lower Sabie",5/5,Abdullah,"Dec 7, 2023 · 9:07 AM UTC"
8:40am,Pride of Lion,"""Quite a few cubs"" H4-1, 7km E of Skukuza (2km from Hyenas)",5/5,Abdullah,"Dec 7, 2023 · 9:07 AM UTC"
10:50am,3 Lions stationary,"H6, 11.5km W of S37 (1.5km W of the other lions) Near Satara",4/5,Nhlamulo,"Dec 7, 2023 · 9:07 AM UTC"
10:30am,3 Lions stationary,"H6, 13km W of S37 Near Satara",4/5,Nhlamulo,"Dec 7, 2023 · 9:07 AM UTC"
8:50am,2 Lions stationary,"S100, 16km E of H1-3 on the drainage line Near Satara",5/5,Nhlamulo,"Dec 7, 2023 · 9:07 AM UTC"
10:36am,2 Lions on the move,"S27, spotted walking across the road to Hippo Pools Near Crocodile Bridge",5/5,M.panchbhaya,"Dec 7, 2023 · 9:06 AM UTC"
9:59am,20 Chacma Baboons playing,"H3, 1.3km S of Afsaal Near Malelane",5/5,Eloisar,"Dec 7, 2023 · 8:13 AM UTC"
9:37am,10 Giraffe ,"S25, 3.4km W of S26 Near Biyamiti Bush Camp",5/5,Stephnie Prinsloo,"Dec 7, 2023 · 8:12 AM UTC"
7:45am,Pride of Lion stationary,"H3, 2.2km N of S114, close to the road, lying down in the grass Near Malelane",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 7, 2023 · 7:22 AM UTC"
8:11am,3 Spotted Hyena stationary,"""There is one baby and I think we saw a mom and dad"" Lake Panic Hide Road, 1km N of H11 Near Skukuza",5/5,Urmompretty,"Dec 7, 2023 · 7:18 AM UTC"
8:28am,5 Lion stationary,"""Chilling with the fam"" H3, 2.2km N of S114, 10m from the road Near Malelane",4/5,Waseema manjra,"Dec 7, 2023 · 7:18 AM UTC"
8:53am,1 Spotted Hyena on the move,"H10, S side of Sabie River Bridge Near Lower Sabie",5/5,KopiteonSafari,"Dec 7, 2023 · 7:10 AM UTC"
7:34am,10 Lion sleeping,"S65, 5.5km S of S1 Near Skukuza",5/5,Urmompretty,"Dec 7, 2023 · 7:10 AM UTC"
7:59am,2 Leopard Tortoise mating,"S1, 400m from H11 Near Skukuza",5/5,Urmompretty,"Dec 7, 2023 · 7:08 AM UTC"
8:15am,3 Spotted Hyena sleeping,"H11, at turnoff to Lake Panic Hide Near Skukuza",5/5,pezza,"Dec 7, 2023 · 7:08 AM UTC"
8:44am,1 Elephant ,"S27, 600m S of S25 Near Crocodile Bridge",5/5,Stephnie Prinsloo,"Dec 7, 2023 · 7:08 AM UTC"
8:34am,1 Cheetah on the move,"S100, 9.3km E of H1-3, went down the drainage line Near Satara",2/5,Nhlamulo,"Dec 7, 2023 · 6:48 AM UTC"
8:28am,Herd of Buffalo ,"S29, 500m E of H10 N junction Near Lower Sabie",5/5,Ray,"Dec 7, 2023 · 6:35 AM UTC"
7:20am,1 Spotted Hyena on a kill,"""Took down an impala"" S130, 10km N of H4-2 S junction Near Crocodile Bridge",5/5,Ursula and Melt,"Dec 7, 2023 · 6:28 AM UTC"
8:00am,1 Lion stationary,"S100, 5.5km E of H1-3, close to the road Near Satara",5/5,Nhlamulo,"Dec 7, 2023 · 6:28 AM UTC"
7:59am,2 Leopard Tortoise mating,"""Just one of the most rare sightings in the park"" H11, 400m E from the S1 junction on N side of road Near Skukuza",5/5,Gerrie - Kruger Gateway Safaris,"Dec 7, 2023 · 6:28 AM UTC"
7:39am,1 Spotted Hyena sleeping,"H4-2, 700m N of S25 Near Crocodile Bridge",3/5,KopiteonSafari,"Dec 7, 2023 · 6:09 AM UTC"
5:39am,1 Elephant stationary,"S82, 8.8km N of H4-2 S junction Near Lower Sabie",5/5,joshdownes,"Dec 7, 2023 · 5:03 AM UTC"
6:57am,1 Spotted Hyena ,"H11, at S1 junction Near Skukuza",5/5,A,"Dec 7, 2023 · 4:59 AM UTC"
6:37am,1 Cheetah on the move,"H7, 1.5km E of S36, close to the road Near Satara",5/5,Nhlamulo,"Dec 7, 2023 · 4:59 AM UTC"
6:15am,1 Lion stationary,"""Male lion hiding from the rain down under the bush"" S110 tar, 300m S of Berg En Dal, close to the road but difficult visual when he is lying flat",3/5,Christelle - Capture Nature Kruger Safaris,"Dec 7, 2023 · 4:41 AM UTC"
5:02am,1 Spotted Hyena on the move,"H1-1, 400m W of H2-2 Near Pretoriuskop",2/5,Urmompretty,"Dec 7, 2023 · 4:07 AM UTC"
6:01am,7 Giraffe eating,"S3, 1.4km S of S1 Near Phabeni",5/5,Urmompretty,"Dec 7, 2023 · 4:07 AM UTC"
5:49am,2 Lion stationary,"S28, about 1.6km E of H4-2 S, just before power lines Near Crocodile Bridge",3/5,Hayley M,"Dec 7, 2023 · 4:07 AM UTC"
5:50am,2 Lion ,"S28, 1.5km E of H4-2 S Near Crocodile Bridge",3/5,Zain,"Dec 7, 2023 · 4:03 AM UTC"
5:53pm,5 Lion on the move,"""Mobile towards H4-2. Attempted to hunt wildebeest but failed."" S28, near H4-2, S entrance Near Crocodile Bridge",5/5,Zain,"Dec 6, 2023 · 3:59 PM UTC"
5:13pm,4 Elephants stationary,"""There are elephants closeby."" S110 gravel, at the Matjulu waterhole Near Berg en Dal",5/5,neyyneyyneyy0852,"Dec 6, 2023 · 3:54 PM UTC"
5:15pm,1 Leopard on the move,"""Looks like it's interested in some impala."" H4-2, about 2km N of S130, S entrance Near Crocodile Bridge",5/5,Zain,"Dec 6, 2023 · 3:25 PM UTC"
5:15pm,4 Elephants drinking,"""There is a baby. Buffaloes stationary closeby."" S110 gravel, at the Matjulu waterhole Near Berg en Dal",5/5,Leanè,"Dec 6, 2023 · 3:22 PM UTC"
3:33pm,5 Lions sleeping,"""It's our fourth group of the day."" S28, 500m from H4-2, S entrance Near Crocodile Bridge",5/5,ToyahM,"Dec 6, 2023 · 2:42 PM UTC"
3:44pm,3 Spotted Hyena stationary,"""Hyena with 2 cubs."" S1, 10km from H11 Near Phabeni",5/5,Abdullah,"Dec 6, 2023 · 2:33 PM UTC"
4:12pm,2 Lion stationary,"""A male and a female."" S1, 2.5km W of the Nyamundwa Dam Near Phabeni",5/5,Abdullah,"Dec 6, 2023 · 2:33 PM UTC"
1:45pm,Herd of Elephant on the move,"""There were about 3 herds. It was beautiful to watch."" Mlondolozi Picnic Spot access road,  Near Lower Sabie",5/5,Ray,"Dec 6, 2023 · 2:24 PM UTC"
3:28pm,2 Lion stationary,"""Lionesses were 300m before the other pride."" H4-2, 4.7km from S130, S entrance Near Crocodile Bridge",5/5,Ray,"Dec 6, 2023 · 2:19 PM UTC"
3:30pm,1 Leopard crossed road,"""Later disappeared down the drainage line, westwards. Visibility was 5/5 for a few minutes."" at the detour on H4-1, 10km N of Lower Sabie",0/5,Erland,"Dec 6, 2023 · 2:19 PM UTC"
3:48pm,1 Lion on the move,"""Male. Visibility was 5/5. Now lost visual."" S25, 2.6km W of S27 Near Crocodile Bridge",5/5,Zain,"Dec 6, 2023 · 1:55 PM UTC"
3:11pm,Pride of Lion crossed road.,"H4-2, 5km N of S130, S entrance Near Crocodile Bridge",5/5,Ray,"Dec 6, 2023 · 1:51 PM UTC"
2:51pm,2 Tawny Eagle stationary,"H3, 300m N of S110 tar Near Malelane",5/5,Followyourtrip,"Dec 6, 2023 · 1:05 PM UTC"
2:53pm,5 Lion on the move,"S28, 700m from H4-2, S entrance Near Crocodile Bridge",5/5,Jandre,"Dec 6, 2023 · 1:03 PM UTC"
2:39pm,2 Spotted Hyena on the move,"H4-2, 2.7km S of S130, S entrance Near Crocodile Bridge",5/5,GTrain,"Dec 6, 2023 · 12:49 PM UTC"
2:30pm,2 Lion hunting,"""They tried to hunt but failed. Still on the move."" S25, 1.3km W of S27 Near Crocodile Bridge",1/5,ToyahM,"Dec 6, 2023 · 12:46 PM UTC"
2:11pm,2 Lion on the move,"""They were initially stationary, now they are mobile."" S25, 1.2km W of S27 Near Crocodile Bridge",2/5,ToyahM,"Dec 6, 2023 · 12:46 PM UTC"
11:55am,1 Lion stationary,"""Male."" S50, 1.5km S of Mooiplaas Loop Near Mopani",3/5,Dolph sk,"Dec 6, 2023 · 12:24 PM UTC"
11:30am,2 Lion stationary,"""Lioness."" S50, at the Nshawu 3 waterhole Near Mopani",5/5,Dolph sk,"Dec 6, 2023 · 12:24 PM UTC"
7:58am,2 African Comb Ducks feeding,"S61, at the Klopperfontein Dam Near Punda Maria",5/5,DecklanJordaan,"Dec 6, 2023 · 12:14 PM UTC"
11:28am,1 Dickinson's Kestrel stationary,"H1-8, 4.2km N of S61 Near Punda Maria",5/5,DecklanJordaan,"Dec 6, 2023 · 12:14 PM UTC"
7:56am,1 Greater painted Snipe stationary,"S61, at the Klopperfontein Dam Near Punda Maria",5/5,DecklanJordaan,"Dec 6, 2023 · 12:13 PM UTC"
7:55am,13 Lark-like buntings drinking,"S61, at the Klopperfontein Dam Near Punda Maria",5/5,DecklanJordaan,"Dec 6, 2023 · 12:13 PM UTC"
11:31am,8 Lions sleeping,"""Next to the road."" H6, 6km from H1-3 Near Satara",5/5,Rifko_88,"Dec 6, 2023 · 10:13 AM UTC"
9:00am,3 Lions stationary,"At the Leeupan turnoff, near H1-2 Near Skukuza",5/5,Fiona,"Dec 6, 2023 · 10:09 AM UTC"
10:56am,4 Lions stationary,"""Still chilling."" S28, 2km from H4-2, S entrance Near Crocodile Bridge",4/5,ToyahM,"Dec 6, 2023 · 9:06 AM UTC"
10:40am,1 Lion stationary,"""Below a tree lying in the grass, 10 meters on the right-hand side."" S110 tar, 300m from Berg en Dal",2/5,Cheis123456,"Dec 6, 2023 · 8:58 AM UTC"
10:49am,4 Lions stationary,"S28, 2km from H4-2, S entrance Near Crocodile Bridge",5/5,Stoutgat,"Dec 6, 2023 · 8:58 AM UTC"
9:21am,100 plus Buffalo crossed road,"""A huge herd."" S26, 1.2km from S25 Near Crocodile Bridge",5/5,KopiteonSafari,"Dec 6, 2023 · 7:41 AM UTC"
9:08am,5 plus Lion on the move,"""The first 5 moved from where they were sitting then after we saw another three coming from across the road looks like another group."" S28, 2km from H4-2, S entrance Near Crocodile Bridge",5/5,ToyahM,"Dec 6, 2023 · 7:29 AM UTC"
9:05am,2 Lions sleeping,"""Next to the road in the grass."" S114, 100m S of S25 Near Malelane",5/5,minwyn02,"Dec 6, 2023 · 7:29 AM UTC"
7:44am,4 Lions stationary,"""3 males and 1 female relaxing in the sand."" S1, about 5km from Phabeni Gate Near Phabeni",5/5,Tinged by@AyshaMoosa-twitter,"Dec 6, 2023 · 7:12 AM UTC"
8:51am,1 Leopard on the move,"""Walking on the road and later moved into the bush. Visibility was 3/5. Lost visual."" S25, 2.4km W of S27 Near Crocodile Bridge",0/5,KopiteonSafari,"Dec 6, 2023 · 7:04 AM UTC"
8:48am,5 Lions stationary,"""They were sleeping, now they are just sitting."" S28, 2.2km from H4-2, S entrance Near Crocodile Bridge",4/5,ToyahM,"Dec 6, 2023 · 6:59 AM UTC"
7:40am,1 Lion stationary,"""A lioness lying down on the western side of the road."" H1-4, 500m N of S147 Near Olifants",5/5,Alberto - Matimba Lodge,"Dec 6, 2023 · 6:54 AM UTC"
6:53am,5 Lion stationary,"S28, 2.2km from H4-2, S entrance Near Crocodile Bridge",4/5,ToyahM,"Dec 6, 2023 · 6:03 AM UTC"
7:55am,1 Leopard on the move,"H7, 400m W of S106, W entrance Near Orpen",2/5,Kcmcnairn,"Dec 6, 2023 · 6:03 AM UTC"
5:54am,1 Leopard on the move,"""Moving along the road."" H4-1, 450m S of S21 Near Lower Sabie",5/5,jhsteyn,"Dec 6, 2023 · 6:03 AM UTC"
5:04am,8 Spotted Hyena playing,"""Very playful."" H1-1, 1km from Numbi Gate",5/5,DawidLamprecht,"Dec 6, 2023 · 5:55 AM UTC"
7:10am,2 Black backed Jackal on the move,"H4-2, just N of S25 Near Crocodile Bridge",5/5,KopiteonSafari,"Dec 6, 2023 · 5:43 AM UTC"
7:29am,4 Lion stationary,"S28, 3km from H4-2 Near Crocodile Bridge",5/5,Jonas117,"Dec 6, 2023 · 5:43 AM UTC"
6:01am,1 Black backed Jackal on the move,"S110 gravel, 2.8km W of S120 Near Berg en Dal",5/5,KP09,"Dec 6, 2023 · 5:31 AM UTC"
6:14am,4 Giraffe stationary,"""Standing by the road, easy to spot."" S110 gravel, 2.7km from H3 Near Malelane",5/5,KP09,"Dec 6, 2023 · 5:31 AM UTC"
6:50am,2 Lion stationary,"""Young males just lying in the grass."" S114, 3.9km from H3 Near Malelane",3/5,Waseema_manjra,"Dec 6, 2023 · 5:13 AM UTC"
6:47am,3 Giraffe stationary,"H11, 900m W of S1 Near Skukuza",5/5,Stoutgat,"Dec 6, 2023 · 5:08 AM UTC"
6:58am,2 Spotted Hyena stationary,"H11, at the S42 junction Near Skukuza",5/5,Stoutgat,"Dec 6, 2023 · 5:08 AM UTC"
6:50am,2 plus Lion stationary,"""A couple of lions lying near the small bush, visibility is poor due to grass."" S114, 3.9km from H3 Near Malelane",3/5,KP09,"Dec 6, 2023 · 5:07 AM UTC"
5:40am,1 Wild Dog feeding,"""Made a kill in front of us. Ate and left within 30 minutes. Loads of vultures eating the carcass."" N entrance of the 3rd loop when coming from Skukuza, no name sand road that's parallel to H4-1",5/5,Hudi,"Dec 6, 2023 · 4:55 AM UTC"
5:15am,Pride of Lion hunting,"""Chasing a hippo."" S28, 2km from H4-2, S entrance Near Crocodile Bridge",5/5,Mfundziso Nyambi,"Dec 6, 2023 · 4:38 AM UTC"
6:10am,1 Cheetah on the move,"""Update: The cheetah is up and heading southwest looking to hunt. Visibility is getting difficult."" S25, 1km from H4-2 Near Crocodile Bridge",2/5,Kerry - Kruger Pride Safaris,"Dec 6, 2023 · 4:38 AM UTC"
5:55am,1 Cheetah stationary,"""On a ridge."" S25, 1km from H4-2 Near Crocodile Bridge",5/5,Jean - Discover Kruger Safaris,"Dec 6, 2023 · 4:38 AM UTC"
5:30am,1 Spotted Hyena feeding,"""Chewing something."" S28, 400m from H4-2, S entrance Near Crocodile Bridge",4/5,Kerry - Kruger Pride Safaris,"Dec 6, 2023 · 4:24 AM UTC"
5:50am,Pride of Lion stationary,"""Update: The Vurhami pride is still here."" S28, 2.2km from H4-2, S entrance Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Dec 6, 2023 · 4:24 AM UTC"
5:30am,Pride of Lion stationary,"""Vurhami pride next to the road."" S28, 2.2km from H4-2, S entrance Near Crocodile Bridge",5/5,Jean - Discover Kruger Safaris,"Dec 6, 2023 · 4:24 AM UTC"
4:56am,Pride of Lion stationary,"""Vurhami pride"" S28, 2km from H4-2, S entrance Near Crocodile Bridge",5/5,Mfundziso Nyambi,"Dec 6, 2023 · 4:23 AM UTC"
5:39pm,2 Lion stationary,"""In the riverbed."" S1, 6.5km from Phabeni Gate",5/5,Fiona,"Dec 5, 2023 · 3:57 PM UTC"
2:15pm,1 Leopard on the move,"""We were looking through binoculars and spotted him higher up, he came down towards the river. He moved along the bank very fast.."" At the Orpen Dam Lookout Point, on river bank opposite the dam Near Tshokwane",5/5,Kyle and Anike,"Dec 5, 2023 · 3:16 PM UTC"
10:10am,1 Lion stationary,"""A male lying in the shade of the reservoir."" H15, 200m from H1-6 Near Letaba",5/5,Alberto - Matimba Lodge,"Dec 5, 2023 · 3:09 PM UTC"
7:15am,5 Lion on the move,"""A lioness with 4 cubs heading west."" S50, 7km from H1-6, S entrance Near Mopani",5/5,Alberto - Matimba Lodge,"Dec 5, 2023 · 3:09 PM UTC"
6:00am,6 Lion on the move,"""A lioness with 5 cubs on the road. Initially, they were stationary. They later moved west."" H14, 18km fromm H9 Near Phalaborwa",5/5,Alberto - Matimba Lodge,"Dec 5, 2023 · 3:09 PM UTC"
2:25pm,3 Lion stationary,"""Lying under a tree."" S110 tar, 3.3km from H3 Near Malelane",5/5,Waseema_manjra,"Dec 5, 2023 · 12:38 PM UTC"
1:07pm,1 Hippopotamus stationary,"""Looks like it is stuck in the mud."" S25, 2.3km W of S27 Near Crocodile Bridge",5/5,Marilea,"Dec 5, 2023 · 11:13 AM UTC"
11:36am,1 Lion sleeping,"H3, 800m N of S112 Near Skukuza",4/5,Waseema_manjra,"Dec 5, 2023 · 10:46 AM UTC"
11:52am,1 Crocodile stationary,"""There is a hippo at the same location."" At the Gasanftombi Lookout Point, off H4-2 Near Crocodile Bridge",5/5,UtahJ,"Dec 5, 2023 · 10:10 AM UTC"
11:50am,1 Lion hunting,"""Stalking Impala."" At the Gasanftombi Lookout Point, off H4-2 Near Crocodile Bridge",5/5,UtahJ,"Dec 5, 2023 · 10:10 AM UTC"
9:50am,1 Leopard in a tree,"""On the northern side of the road."" S25, 3.1km W of S27 Near Crocodile Bridge",4/5,J,"Dec 5, 2023 · 9:54 AM UTC"
10:55am,1 Leopard in a tree,"""Sleeping in a tree near Jock Safari."" H3, 700m N of the Biyamiti High Level Bridge Near Skukuza",4/5,Nhlamulo Nyalungu,"Dec 5, 2023 · 9:39 AM UTC"
10:50am,4 Zebra crossed road,"S27, 2.1km from S25 Near Crocodile Bridge",5/5,TY1,"Dec 5, 2023 · 9:16 AM UTC"
10:36am,Herd of Elephant stationary,"""Cooling."" H1-3, at the Kumana Dam Near Tshokwane",5/5,Edson - Osprey Tours,"Dec 5, 2023 · 9:11 AM UTC"
10:50am,1 Hippopotamus stationary,"""Stuck in the mud and it's still breathing."" S25, 2.3km W of S27 Near Crocodile Bridge",5/5,Yusuf,"Dec 5, 2023 · 9:10 AM UTC"
10:13am,1 Leopard on the move,"""Mobile towards Afsaal."" H3, 3km N of Afsaal Near Malelane",5/5,Ray,"Dec 5, 2023 · 9:10 AM UTC"
10:20am,1 Lion on the move,"""Update: The female crossed the river, east of the bridge going from the north side to the south side. She disappeared into the bush. Visual was 5/5."" H4-2, at the Vurhami Bridge Near Crocodile Bridge",0/5,Erland,"Dec 5, 2023 · 8:48 AM UTC"
9:48am,2 Lion stationary,"""Update: Still stationary on the west side."" S82, 7.6km from H4-2, S entrance Near Lower Sabie",2/5,Christelle - Capture Nature Kruger Safaris,"Dec 5, 2023 · 8:42 AM UTC"
10:23am,1 Leopard in a tree with kill,"""With an Impala kill, on the right side."" S25, 3km W of S27 Near Crocodile Bridge",3/5,TY1,"Dec 5, 2023 · 8:31 AM UTC"
10:08am,2 Lion hunting,"""The second lion attempted to hunt an Impala but failed and is back."" Gasanftombi Dam, off H4-2 Near Crocodile Bridge",3/5,ToyahM,"Dec 5, 2023 · 8:17 AM UTC"
9:18am,1 Lion hunting,"Gasanftombi Dam, off H4-2 Near Crocodile Bridge",4/5,ToyahM,"Dec 5, 2023 · 7:29 AM UTC"
7:20am,1 Leopard in a tree with kill,"""On the north side. Distant open visual."" S25, 3km W of S27 Near Crocodile Bridge",4/5,Christelle - Capture Nature Kruger Safaris,"Dec 5, 2023 · 7:24 AM UTC"
6:59am,2 Lion on the move,"H4-2, at the Vurhami Bridge Near Crocodile Bridge",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 5, 2023 · 7:15 AM UTC"
8:55am,2 Lion stationary,"""Lionesses, on the south side of the drainage."" S82, 7.6km from H4-2, S entrance Near Lower Sabie",2/5,Kerry - Kruger Pride Safaris,"Dec 5, 2023 · 7:09 AM UTC"
8:50am,2 Lion stationary,"""Lionesses. Difficult visual."" S82, 7.6km from H4-2, S entrance Near Lower Sabie",3/5,Jean - Discover Kruger Safaris,"Dec 5, 2023 · 7:09 AM UTC"
8:45am,1 Lion hunting,"""Lioness still hunting. Lying in the reeds. Visibility varies as she moves."" Gasanftombi Dam, Off H4-2 Near Crocodile Bridge",5/5,Monique,"Dec 5, 2023 · 7:04 AM UTC"
7:20am,1 Cheetah stationary,"""Sitting on a fallen tree eyeing some Impala."" S1, 1.6km from the Nyamundwa Dam towards Phabeni",5/5,Gerrie - Kruger Gateway Safaris,"Dec 5, 2023 · 6:55 AM UTC"
8:30am,1 Leopard stationary,"""Now lying in the shade. Our farewell gift."" H3, 1km N of S114 Near Malelane",5/5,Ailsa,"Dec 5, 2023 · 6:40 AM UTC"
6:45am,2 Lion stationary,"""Lionesses."" S82, 2.5km from Lower Sabie",2/5,Nelson Cruz - Africa Kruger Tours,"Dec 5, 2023 · 5:57 AM UTC"
7:30am,2 Lion hunting,"""What an incredible sighting. Lionesses hunting warthog. Failed hunt but the warthog almost ran into our car."" Gasanftombi Lookout Point, at the dam Near Crocodile Bridge",5/5,KopiteonSafari,"Dec 5, 2023 · 5:53 AM UTC"
7:30am,2 Lion hunting,"""Busy hunting warthog. Failed attempt."" Gasanftombi Lookout Point, by Vurhami Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Dec 5, 2023 · 5:47 AM UTC"
7:15am,1 Leopard in a tree with kill,"""Update: Still stationary on the north side. Distant Visual."" S25, 3km W of S27 Near Crocodile Bridge",3/5,Jean - Discover Kruger Safaris,"Dec 5, 2023 · 5:47 AM UTC"
6:58am,2 Lion on the move,"""On both sides of the road."" H4-2, at the Vurhami Bridge Near Crocodile Bridge",5/5,Jean - Discover Kruger Safaris,"Dec 5, 2023 · 5:16 AM UTC"
6:45am,1 Spotted Hyena on the move,"H3, 100m N of S121 Near Malelane",5/5,Jesswoollam,"Dec 5, 2023 · 4:59 AM UTC"
6:51am,1 Leopard feeding,"S25, 3.5km W of S27 Near Crocodile Bridge",3/5,KopiteonSafari,"Dec 5, 2023 · 4:55 AM UTC"
6:45am,1 Leopard in a tree with kill,"""With an Impala kill. Distant visual on the north side."" S25, 3.5km W of S27 Near Crocodile Bridge",3/5,Kerry - Kruger Pride Safaris,"Dec 5, 2023 · 4:52 AM UTC"
6:26am,1 Leopard stationary,"""Lying down, so it is difficult to see. About 10 meters from the road from our location."" H3, 800m N of S114 Near Malelane",2/5,Jesswoollam,"Dec 5, 2023 · 4:38 AM UTC"
6:20am,2 Spotted Hyena feeding,"""Eating left over bones."" S25, 4.7km W of S27 Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Dec 5, 2023 · 4:33 AM UTC"
6:10am,1 Kori Bustard on the move,"S25, 850m from H4-2 Near Crocodile Bridge",5/5,KopiteonSafari,"Dec 5, 2023 · 4:21 AM UTC"
5:29am,1 Wild Dog crossed road,"H11, 1.4km W of S42 Near Skukuza",5/5,arturohm8,"Dec 5, 2023 · 4:21 AM UTC"
5:15pm,1 Leopard stationary,"""A male. Lost visual as he lied down in the thicket."" second detour route from Lower Sabie, just before S79",0/5,Monique,"Dec 4, 2023 · 4:00 PM UTC"
5:01pm,4 Vulture in a tree,"H4-2, 1.9km S of S28, N entrance Near Lower Sabie",5/5,TY1,"Dec 4, 2023 · 3:31 PM UTC"
3:11pm,20 plus Elephant on the move,"""Crossing the river with babies."" H4-1, 5.8km E of H12 Near Skukuza",5/5,TY1,"Dec 4, 2023 · 3:31 PM UTC"
4:20pm,Herd of Buffalo stationary,"S28, 1.5km N of Shishangeni Lodge turnoff Near Crocodile Bridge",5/5,Annatjie Conradie,"Dec 4, 2023 · 3:22 PM UTC"
4:20am,1 Lion on the move with kill,"""It had a leopard tortoise."" S25, 2km from H4-2 Near Crocodile Bridge",5/5,Mfundziso Nyambi,"Dec 4, 2023 · 3:22 PM UTC"
1:39pm,1 Hippopotamus stationary,"""Terrapin chilling on the back of the hippo."" H4-1, at the Sunset Dam Near Lower Sabie",5/5,TY1,"Dec 4, 2023 · 2:55 PM UTC"
1:36pm,2 Giraffe stationary,"""Mother and baby."" S28, 11.6km from H4-2, S entrance Near Crocodile Bridge",5/5,TY1,"Dec 4, 2023 · 2:55 PM UTC"
4:28pm,3 Crocodile stationary,"""There are Hippos too."" H4-1, at the Sunset Dam Near Lower Sabie",5/5,TY1,"Dec 4, 2023 · 2:55 PM UTC"
2:08pm,1 Leopard stationary,"H4-1, 1.5km E of H12 Near Skukuza",3/5,Chechirussel,"Dec 4, 2023 · 12:28 PM UTC"
2:00pm,1 Leopard crossed road,"""Towards the riverside 15m in the bush. I left her there."" H4-1, 1.5km E of H12 bridge Near Skukuza",5/5,Tinged by@n.m_wildlifephotography,"Dec 4, 2023 · 12:26 PM UTC"
1:03pm,4 Zebra stationary,"""On the right and left side of the road."" S28, 5km from H4-2, S entrance Near Crocodile Bridge",5/5,TY1,"Dec 4, 2023 · 11:26 AM UTC"
1:13pm,50 plus Buffalo stationary,"S28, 4km from H4-2, S entrance Near Crocodile Bridge",5/5,TY1,"Dec 4, 2023 · 11:26 AM UTC"
12:49pm,1 Lion sleeping,"H6, 2.4km from H1-3 Near Satara",4/5,ToyahM,"Dec 4, 2023 · 10:59 AM UTC"
11:20am,Pride of Lion on the move,"""Heading southeast. Visibility is 5/5 at the moment and we will lose visual soon."" H4-1, at the N'watimhiri Bridge Near Lower Sabie",5/5,Mthunzi,"Dec 4, 2023 · 10:49 AM UTC"
8:49am,3 Lion stationary,"""Update: They are now stationary in the river at the causeway."" S125, 3.7km W of Mhisanamond waterhole Near Satara",5/5,alexf8,"Dec 4, 2023 · 9:54 AM UTC"
8:33am,5 Lion on the move,"""Walking on the road for a while and then got chased by a herd of elephants. They slowly went down into the river."" S125, 3.4km W of Mhisanamond waterhole Near Satara",5/5,alexf8,"Dec 4, 2023 · 9:54 AM UTC"
8:30am,100 plus Buffalo crossed road,"""Walking into the river."" H1-3, 14km N of Tshokwane",5/5,Erland,"Dec 4, 2023 · 9:43 AM UTC"
10:57am,Herd of Buffalo stationary,"""There are elephants close by."" S114, at the Biyamiti Wehr Near Malelane",5/5,Ailsa,"Dec 4, 2023 · 9:13 AM UTC"
10:20am,1 Lion stationary,"H6, 2.5km from H1-3 Near Satara",4/5,MrTNamibia,"Dec 4, 2023 · 8:27 AM UTC"
9:50am,Herd of Buffalo crossed road,"""A huge herd."" H11, 300m from H4-1 Near Skukuza",5/5,Frannie - Thula Seats Transfers and Tours,"Dec 4, 2023 · 8:11 AM UTC"
9:45am,1 Spotted Hyena stationary,"S25, 1.2km E of S119 Near Malelane",5/5,Afghan,"Dec 4, 2023 · 7:57 AM UTC"
9:30am,1 Giraffe drinking,"H1-1, at the De Laporte waterhole Near Skukuza",5/5,Annatjie Conradie,"Dec 4, 2023 · 7:48 AM UTC"
9:15am,3 Kudu stationary,"""Next to the road"" S1, 2km from H11 Near Skukuza",5/5,Frannie - Thula Seats Transfers and Tours,"Dec 4, 2023 · 7:41 AM UTC"
9:10am,1 Spotted Hyena running,"""On the road. Later moved to its den under the road."" S1, 3km from H11 Near Skukuza",5/5,Frannie - Thula Seats Transfers and Tours,"Dec 4, 2023 · 7:41 AM UTC"
9:15am,1 Leopard stationary,"""She was stalking Impala, but the Impala saw her. Visibility is 1/5 where she is lying now, in a shade behind some bushes."" S51, 50m from the Sable Dam Hide Near Phalaborwa",1/5,Elize,"Dec 4, 2023 · 7:25 AM UTC"
7:47am,1 Cheetah on the move,"""Calling for mates."" H7, 300m E of S39 Near Satara",5/5,MrTNamibia,"Dec 4, 2023 · 7:06 AM UTC"
8:16am,1 Kori Bustard on the move,"S25, 150m from H4-2 Near Crocodile Bridge",5/5,Emilyjoosse,"Dec 4, 2023 · 6:35 AM UTC"
