Time,Animal Type and Number,Location,Rating,Tinged By,Title,Tweet Date
10:45am,2 Southern Ground Hornbill on the move,"""Both carrying snakes (Looks like more than one snake)"" Renosterpan Road, 5min in off H3 Near Malelane",3/5,Sez Photography,"Dec 9, 2023 · 9:08 AM UTC",Dec 9
9:39am,5 Wild Dog stationary,"S1, 1km W of Nyamundwa dam Near Phabeni",2/5,MikaylaSindlerova,"Dec 9, 2023 · 8:15 AM UTC",Dec 9
8:45am,1 Leopard ,"S130, 2km N of H4-2 S junction Near Crocodile Bridge",5/5,BerniceVos,"Dec 9, 2023 · 8:15 AM UTC",Dec 9
8:15am,1 Lion on the move,"H4-1, at Lubyelubye bridge, crossed bridge and went down to riverbed Near Lower Sabie",5/5,Renata - Kedibone Safaris,"Dec 9, 2023 · 7:25 AM UTC",Dec 9
8:00am,Huge herd of Elephant ,"H4-1, next to the road just before Lubyelubye Near Lower Sabie",5/5,Renata - Kedibone Safaris,"Dec 9, 2023 · 7:25 AM UTC",Dec 9
5:45am,1 Leopard on the move,"H4-1, 3km W of Nkuhlu picnic site Near Lower Sabie",5/5,Renata - Kedibone Safaris,"Dec 9, 2023 · 7:25 AM UTC",Dec 9
4:55am,1 Spotted Hyena stationary,"H4-1, near H12, ate something, on the road with bloody face and legs Near Lower Sabie",5/5,Renata - Kedibone Safaris,"Dec 9, 2023 · 7:25 AM UTC",Dec 9
8:42am,1 Hippopotamus stationary in a mud bath,"S25, 2.2km W of S27 Near Crocodile Bridge",5/5,HesterM1076,"Dec 9, 2023 · 7:24 AM UTC",Dec 9
8:09am,Beautiful Verreaux's Eagle Owl stationary on the ground and Tawny Eage in a tree,"S27, 400m S of S25 Near Crocodile Bridge",5/5,HesterM1076,"Dec 9, 2023 · 7:24 AM UTC",Dec 9
6:46am,2 Secretary Bird feeding,"S25, 550m E of S27 Near Crocodile Bridge",5/5,KopiteonSafari,"Dec 9, 2023 · 6:26 AM UTC",Dec 9
6:57am,Pod of 8 Hippopotami stationary,"H10, Sabie River, in the water right next to the bridge Near Lower Sabie",5/5,NatgeoJames,"Dec 9, 2023 · 6:26 AM UTC",Dec 9
7:22am,16 Wild Dog on the move,"S25, 5.4km W of S139 Near Biyamiti Bush Camp",5/5,TreeHugger,"Dec 9, 2023 · 6:25 AM UTC",Dec 9
7:34am,1 Tortoise on the move,"H4-1, just W of H11 Near Skukuza",5/5,HeatherM23,"Dec 9, 2023 · 6:25 AM UTC",Dec 9
7:19am,Pride of Lion stationary,"""Male got up and repositioned"" S25, 4.8km W of H4-2 on S side of road. Near Crocodile Bridge",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 9, 2023 · 5:32 AM UTC",Dec 9
6:56am,Pack of Wild Dog on the move,"""Heading East"" S25, about 4 or 5km W of S139 Near Biyamiti Bush Camp Turnoff",5/5,Niek,"Dec 9, 2023 · 5:26 AM UTC",Dec 9
5:40am,Pride of Lion stationary,"""1 male, 2 females and 1 cub"" S25, 4km W of H4-2 Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Dec 9, 2023 · 5:26 AM UTC",Dec 9
6:47am,Clan of Spotted Hyena stationary,"""Mom with cuns at den"" S1, 2km E of S4 Near Skukuza",5/5,CdB,"Dec 9, 2023 · 5:26 AM UTC",Dec 9
6:29am,Pack of Wild Dog stationary,"""With some young dogs as well. They were lying when we arrived but started moving in W direction"" S1, 1km E of Nyamundwa dam Near Phabeni Gate",5/5,CdB,"Dec 9, 2023 · 4:41 AM UTC",Dec 9
6:21am,2 Lion stationary,"S1, 800m W of Nyamundwa dam Near Phabeni Gate",3/5,CdB,"Dec 9, 2023 · 4:41 AM UTC",Dec 9
6:26am,1 Leopard stationary,"""Saw him going up a tree"" S130, 2km N of H4-2 S junction Near Crocodile Bridge",5/5,Salomi Van Stryp,"Dec 9, 2023 · 4:41 AM UTC",Dec 9
5:45am,1 Spotted Hyena on the move,"H4-2, 700m N of S25 Near Crocodile Bridge",5/5,Salooms x,"Dec 9, 2023 · 4:12 AM UTC",Dec 9
5:40am,1 Common Duiker on the move,"H11, 4km E of S1 Near Skukuza",5/5,MichaelLever1,"Dec 8, 2023 · 3:56 PM UTC",Dec 8
5:19pm,1 Tawny Eagle eating,"S28, 7.9km E of H4-2 S junction Near Crocodile Bridge",5/5,NatgeoJames,"Dec 8, 2023 · 3:46 PM UTC",Dec 8
4:55pm,4 Southern Ground hornbills on the move,"""A first for me, they came out of the road straight up to the car and tried to peck at the bumper"" S1, 1.1km W of S4 Near Skukuza",5/5,MichaelLever1,"Dec 8, 2023 · 3:35 PM UTC",Dec 8
4:51pm,2 Crocodile stationary,"H4-2, Vurhami Bridge Near Crocodile Bridge",5/5,NatgeoJames,"Dec 8, 2023 · 3:26 PM UTC",Dec 8
11:45am,Herd of Elephant swimming,"H1-3, at Kumana dam Near Tshokwane",5/5,Renata - Kedibone Safaris,"Dec 8, 2023 · 3:16 PM UTC",Dec 8
7:30am,Huge herd of Buffalo and Elephants,"H9, at Nhlanganini dam Near Letaba",5/5,Renata - Kedibone Safaris,"Dec 8, 2023 · 3:16 PM UTC",Dec 8
10:23am,2 Spotted Hyena crossed road and Warthog,"S118, 1.7km E of H3 Near Malelane",5/5,Ray69,"Dec 8, 2023 · 2:18 PM UTC",Dec 8
3:40pm,5 Buffalo stationary,"""Dagga boys and warthog family in a pool of water"" S114, about 6km E of H3 Near Malelane",5/5,Frannie - Tambotie Transfers and Tours,"Dec 8, 2023 · 1:57 PM UTC",Dec 8
2:57pm,4 Elephant stationary,"H4-2, just N of Crocodile River Bridge Near Crocodile Bridge Gate",5/5,NatgeoJames,"Dec 8, 2023 · 1:25 PM UTC",Dec 8
1:56pm,4 Giraffe stationary,"S25, 9.8km E of S119 Near Malelane",5/5,NatgeoJames,"Dec 8, 2023 · 12:22 PM UTC",Dec 8
1:56pm,5 Hippopotami stationary,"S25, 10.3km E of S119 Near Malelane",4/5,NatgeoJames,"Dec 8, 2023 · 12:22 PM UTC",Dec 8
12:06pm,Herd of Buffalo stationary,"S102, at Mpondo dam Near Lower Sabie",5/5,Lesia Vermaak,"Dec 8, 2023 · 11:21 AM UTC",Dec 8
12:36pm,Herd of Buffalo stationary,"""Blocking the road"" H1-1, about 6km S of Skukuza",5/5,Salomi Van Stryp,"Dec 8, 2023 · 11:21 AM UTC",Dec 8
11:28am,8 Giraffe stationary,"S25, 2.3km W of S27 Near Crocodile Bridge",5/5,Alex1860,"Dec 8, 2023 · 9:54 AM UTC",Dec 8
11:30am,Photo of the Elephant crossing river,"H1-2, Sabie River low water bridge Near Skukuza",5/5,Frannie - Tambotie Transfers and Tours,"Dec 8, 2023 · 9:51 AM UTC",Dec 8
11:35am,1 Leopard crossing road,"H1-2, Sabie River low water bridge N entrance, heading towards river Near Skukuza",5/5,Frannie - Tambotie Transfers and Tours,"Dec 8, 2023 · 9:49 AM UTC",Dec 8
11:30am,2 Elephant crossing river,"H1-2, Sabie River low water bridge Near Skukuza",5/5,Frannie - Tambotie Transfers and Tours,"Dec 8, 2023 · 9:49 AM UTC",Dec 8
11:07am,2 Giraffe stationary,"S28, 3.2km E of H4-2 S junction Near Crocodile Bridge",5/5,Alex1860,"Dec 8, 2023 · 9:26 AM UTC",Dec 8
10:41am,8 Wild Dog ,"""Pups next to the road"" S1, 2km W of Nyamundwa dam Near Phabeni",5/5,Untamed Africa,"Dec 8, 2023 · 8:55 AM UTC",Dec 8
10:33am,1 Leopard chilling in a tree,"H1-2, 500m N of Sabie River Bridge Near Skukuza",5/5,Marnoca,"Dec 8, 2023 · 8:39 AM UTC",Dec 8
10:05am,A very injured Buffalo with a missing horn and injured eye,"Matjulu waterhole, off S110 sand Near Berg En Dal",5/5,Jamin - MindaraLodge,"Dec 8, 2023 · 8:39 AM UTC",Dec 8
8:12am,1 Elephaant eating,"H5, 7.9km W of S108 Near Lower Sabie",4/5,Marnoca,"Dec 8, 2023 · 8:11 AM UTC",Dec 8
9:32am,1 Honey Badger crossed road and Dwarf Mongoose,"S110 sand, 4km W of S120 Near Berg En Dal",3/5,Ray69,"Dec 8, 2023 · 8:11 AM UTC",Dec 8
10:00am,8 Wild Dog sleeping,"S1, about 9km E of Phabeni gate, next to the road Near Phabeni Gate",5/5,Frannie - Tambotie Transfers and Tours,"Dec 8, 2023 · 8:07 AM UTC",Dec 8
9:55am,3 Lion crossed road,"""Beautiful males"" S1, about 7km E of Phabeni Gate before Nyamundwa dam, lying down",5/5,The Rillema Gang,"Dec 8, 2023 · 8:07 AM UTC",Dec 8
9:53am,3 Lion stationary,"""Huge males"" S1, about 7km E of Phabeni Gate",3/5,Frannie - Tambotie Transfers and Tours,"Dec 8, 2023 · 8:07 AM UTC",Dec 8
9:51am,6 Wild Dog ,"S1, E past the Nyamundwa dam Near Phabeni Gate",5/5,The Rillema Gang,"Dec 8, 2023 · 8:07 AM UTC",Dec 8
8:54am,20 Elephant ,"S102, Mpondo waterhole Near Lower Sabie",5/5,Salomi Van Stryp,"Dec 8, 2023 · 7:16 AM UTC",Dec 8
7:53am,1 Leopard on the move,"H5, 8km W of S108 Near Lower Sabie",5/5,Salomi Van Stryp,"Dec 8, 2023 · 6:25 AM UTC",Dec 8
6:25am,4 Lion stationary,"""3 lionesses and a young male"" H14, 17km N of H9, lying in riverbed Near Phalaborwa",5/5,Alberto - Matimba Bush Lodge,"Dec 8, 2023 · 6:17 AM UTC",Dec 8
7:22am,2 Spotted Hyena stationary,"""Stealing a kill from tree just left of the junction"" H4-1, at H11 junction Near Skukuza",5/5,Abdullah,"Dec 8, 2023 · 5:47 AM UTC",Dec 8
6:41am,1 Lion stationary,"S1, 900m W of Nyamundwa dam Near Phabeni",4/5,Jeremyv,"Dec 8, 2023 · 5:06 AM UTC",Dec 8
6:51am,4 Elephant on the move,"S102, Mpondo dam Near Lower Sabie",5/5,Andre and Corlia,"Dec 8, 2023 · 4:57 AM UTC",Dec 8
6:00pm,8 Wild Dog on the move,"""5 adults, 1 with collar and 1 limping, 3 sub-adults"" H10, about 7km N of H4-2, they were going N Near Lower Sabie",5/5,Erland,"Dec 8, 2023 · 4:42 AM UTC",Dec 8
5:59am,1 Southern Ground hornbill in a tree,"S114, 1.1km E of H3 Near Malelane",5/5,Jamin - MindaraLodge,"Dec 8, 2023 · 4:32 AM UTC",Dec 8
6:10am,1 Elephant stationary,"H4-2, 350m S of S130 S Near Crocodile Bridge",5/5,Timtam,"Dec 8, 2023 · 4:31 AM UTC",Dec 8
5:29am,1 Leopard on the move,"H1-1, close to H3 junction Near Skukuza",5/5,Ruan8808,"Dec 8, 2023 · 4:31 AM UTC",Dec 8
4:59pm,1 Spotted Hyena stationary,"H11, at turnoff to Lake Panic Hide Near Skukuza",5/5,pezza,"Dec 7, 2023 · 3:30 PM UTC",Dec 7
9:30am,100 Buffalo stationary,"""Blocking the road"" H10, 11.2km N of H4-2 Near Lower Sabie",5/5,joshdownes,"Dec 7, 2023 · 2:56 PM UTC",Dec 7
4:48pm,3 Lion sleeping,"H6, 15.5km W of S37 Near Satara",5/5,joshdownes,"Dec 7, 2023 · 2:56 PM UTC",Dec 7
9:16am,10 Elephant on the move,"H10, 6.3km N of H4-2 Near Lower Sabie",4/5,joshdownes,"Dec 7, 2023 · 1:47 PM UTC",Dec 7
1:40pm,9 Wild Dog stationary,"H1-2, N side of Sand River Bridge, sitting in the riverbed, have to be on the bridge to see them Near Skukuza",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 7, 2023 · 1:39 PM UTC",Dec 7
12:50pm,3 Lion stationary,"H6, 2.2km E of H1-3, close to road Near Crocodile Bridge",5/5,Nelson Cruz - Africa Kruger Tours,"Dec 7, 2023 · 12:56 PM UTC",Dec 7
11:48am,9 Wild Dogs stationary,"H1-2, N side of Sand River Bridge, sitting in the riverbed, have to be on the bridge to see them. Near Skukuza",5/5,ToyahM,"Dec 7, 2023 · 9:54 AM UTC",Dec 7
10:21am,1 Lion on the move,"H4-1, 4.4km W of H12 Near Skukuza",5/5,ToyahM,"Dec 7, 2023 · 9:23 AM UTC",Dec 7
10:30am,1 Leopard,"H4-1, 2.5km W of S79 N entrance (500m from Hyena) very close to road Near Lower Sabie",5/5,Abdullah,"Dec 7, 2023 · 9:07 AM UTC",Dec 7
10:00am,1 Spotted Hyena,"H4-1, 3km W of S79 N entrance Near Lower Sabie",5/5,Abdullah,"Dec 7, 2023 · 9:07 AM UTC",Dec 7
8:40am,Pride of Lion,"""Quite a few cubs"" H4-1, 7km E of Skukuza (2km from Hyenas)",5/5,Abdullah,"Dec 7, 2023 · 9:07 AM UTC",Dec 7
10:50am,3 Lions stationary,"H6, 11.5km W of S37 (1.5km W of the other lions) Near Satara",4/5,Nhlamulo,"Dec 7, 2023 · 9:07 AM UTC",Dec 7
10:30am,3 Lions stationary,"H6, 13km W of S37 Near Satara",4/5,Nhlamulo,"Dec 7, 2023 · 9:07 AM UTC",Dec 7
8:50am,2 Lions stationary,"S100, 16km E of H1-3 on the drainage line Near Satara",5/5,Nhlamulo,"Dec 7, 2023 · 9:07 AM UTC",Dec 7
10:36am,2 Lions on the move,"S27, spotted walking across the road to Hippo Pools Near Crocodile Bridge",5/5,M.panchbhaya,"Dec 7, 2023 · 9:06 AM UTC",Dec 7
9:59am,20 Chacma Baboons playing,"H3, 1.3km S of Afsaal Near Malelane",5/5,Eloisar,"Dec 7, 2023 · 8:13 AM UTC",Dec 7
9:37am,10 Giraffe ,"S25, 3.4km W of S26 Near Biyamiti Bush Camp",5/5,Stephnie Prinsloo,"Dec 7, 2023 · 8:12 AM UTC",Dec 7
7:45am,Pride of Lion stationary,"H3, 2.2km N of S114, close to the road, lying down in the grass Near Malelane",5/5,Christelle - Capture Nature Kruger Safaris,"Dec 7, 2023 · 7:22 AM UTC",Dec 7
8:11am,3 Spotted Hyena stationary,"""There is one baby and I think we saw a mom and dad"" Lake Panic Hide Road, 1km N of H11 Near Skukuza",5/5,Urmompretty,"Dec 7, 2023 · 7:18 AM UTC",Dec 7
8:28am,5 Lion stationary,"""Chilling with the fam"" H3, 2.2km N of S114, 10m from the road Near Malelane",4/5,Waseema manjra,"Dec 7, 2023 · 7:18 AM UTC",Dec 7
8:53am,1 Spotted Hyena on the move,"H10, S side of Sabie River Bridge Near Lower Sabie",5/5,KopiteonSafari,"Dec 7, 2023 · 7:10 AM UTC",Dec 7
7:34am,10 Lion sleeping,"S65, 5.5km S of S1 Near Skukuza",5/5,Urmompretty,"Dec 7, 2023 · 7:10 AM UTC",Dec 7
7:59am,2 Leopard Tortoise mating,"S1, 400m from H11 Near Skukuza",5/5,Urmompretty,"Dec 7, 2023 · 7:08 AM UTC",Dec 7
8:15am,3 Spotted Hyena sleeping,"H11, at turnoff to Lake Panic Hide Near Skukuza",5/5,pezza,"Dec 7, 2023 · 7:08 AM UTC",Dec 7
8:44am,1 Elephant ,"S27, 600m S of S25 Near Crocodile Bridge",5/5,Stephnie Prinsloo,"Dec 7, 2023 · 7:08 AM UTC",Dec 7
8:34am,1 Cheetah on the move,"S100, 9.3km E of H1-3, went down the drainage line Near Satara",2/5,Nhlamulo,"Dec 7, 2023 · 6:48 AM UTC",Dec 7
8:28am,Herd of Buffalo ,"S29, 500m E of H10 N junction Near Lower Sabie",5/5,Ray,"Dec 7, 2023 · 6:35 AM UTC",Dec 7
7:20am,1 Spotted Hyena on a kill,"""Took down an impala"" S130, 10km N of H4-2 S junction Near Crocodile Bridge",5/5,Ursula and Melt,"Dec 7, 2023 · 6:28 AM UTC",Dec 7
8:00am,1 Lion stationary,"S100, 5.5km E of H1-3, close to the road Near Satara",5/5,Nhlamulo,"Dec 7, 2023 · 6:28 AM UTC",Dec 7
7:59am,2 Leopard Tortoise mating,"""Just one of the most rare sightings in the park"" H11, 400m E from the S1 junction on N side of road Near Skukuza",5/5,Gerrie - Kruger Gateway Safaris,"Dec 7, 2023 · 6:28 AM UTC",Dec 7
7:39am,1 Spotted Hyena sleeping,"H4-2, 700m N of S25 Near Crocodile Bridge",3/5,KopiteonSafari,"Dec 7, 2023 · 6:09 AM UTC",Dec 7
5:39am,1 Elephant stationary,"S82, 8.8km N of H4-2 S junction Near Lower Sabie",5/5,joshdownes,"Dec 7, 2023 · 5:03 AM UTC",Dec 7
6:57am,1 Spotted Hyena ,"H11, at S1 junction Near Skukuza",5/5,A,"Dec 7, 2023 · 4:59 AM UTC",Dec 7
6:37am,1 Cheetah on the move,"H7, 1.5km E of S36, close to the road Near Satara",5/5,Nhlamulo,"Dec 7, 2023 · 4:59 AM UTC",Dec 7
6:15am,1 Lion stationary,"""Male lion hiding from the rain down under the bush"" S110 tar, 300m S of Berg En Dal, close to the road but difficult visual when he is lying flat",3/5,Christelle - Capture Nature Kruger Safaris,"Dec 7, 2023 · 4:41 AM UTC",Dec 7
5:02am,1 Spotted Hyena on the move,"H1-1, 400m W of H2-2 Near Pretoriuskop",2/5,Urmompretty,"Dec 7, 2023 · 4:07 AM UTC",Dec 7
6:01am,7 Giraffe eating,"S3, 1.4km S of S1 Near Phabeni",5/5,Urmompretty,"Dec 7, 2023 · 4:07 AM UTC",Dec 7
5:49am,2 Lion stationary,"S28, about 1.6km E of H4-2 S, just before power lines Near Crocodile Bridge",3/5,Hayley M,"Dec 7, 2023 · 4:07 AM UTC",Dec 7
5:50am,2 Lion ,"S28, 1.5km E of H4-2 S Near Crocodile Bridge",3/5,Zain,"Dec 7, 2023 · 4:03 AM UTC",Dec 7
5:53pm,5 Lion on the move,"""Mobile towards H4-2. Attempted to hunt wildebeest but failed."" S28, near H4-2, S entrance Near Crocodile Bridge",5/5,Zain,"Dec 6, 2023 · 3:59 PM UTC",Dec 6
5:13pm,4 Elephants stationary,"""There are elephants closeby."" S110 gravel, at the Matjulu waterhole Near Berg en Dal",5/5,neyyneyyneyy0852,"Dec 6, 2023 · 3:54 PM UTC",Dec 6
5:15pm,1 Leopard on the move,"""Looks like it's interested in some impala."" H4-2, about 2km N of S130, S entrance Near Crocodile Bridge",5/5,Zain,"Dec 6, 2023 · 3:25 PM UTC",Dec 6
5:15pm,4 Elephants drinking,"""There is a baby. Buffaloes stationary closeby."" S110 gravel, at the Matjulu waterhole Near Berg en Dal",5/5,Leanè,"Dec 6, 2023 · 3:22 PM UTC",Dec 6
3:33pm,5 Lions sleeping,"""It's our fourth group of the day."" S28, 500m from H4-2, S entrance Near Crocodile Bridge",5/5,ToyahM,"Dec 6, 2023 · 2:42 PM UTC",Dec 6
3:44pm,3 Spotted Hyena stationary,"""Hyena with 2 cubs."" S1, 10km from H11 Near Phabeni",5/5,Abdullah,"Dec 6, 2023 · 2:33 PM UTC",Dec 6
4:12pm,2 Lion stationary,"""A male and a female."" S1, 2.5km W of the Nyamundwa Dam Near Phabeni",5/5,Abdullah,"Dec 6, 2023 · 2:33 PM UTC",Dec 6
1:45pm,Herd of Elephant on the move,"""There were about 3 herds. It was beautiful to watch."" Mlondolozi Picnic Spot access road,  Near Lower Sabie",5/5,Ray,"Dec 6, 2023 · 2:24 PM UTC",Dec 6
3:28pm,2 Lion stationary,"""Lionesses were 300m before the other pride."" H4-2, 4.7km from S130, S entrance Near Crocodile Bridge",5/5,Ray,"Dec 6, 2023 · 2:19 PM UTC",Dec 6
3:30pm,1 Leopard crossed road,"""Later disappeared down the drainage line, westwards. Visibility was 5/5 for a few minutes."" at the detour on H4-1, 10km N of Lower Sabie",0/5,Erland,"Dec 6, 2023 · 2:19 PM UTC",Dec 6
3:48pm,1 Lion on the move,"""Male. Visibility was 5/5. Now lost visual."" S25, 2.6km W of S27 Near Crocodile Bridge",5/5,Zain,"Dec 6, 2023 · 1:55 PM UTC",Dec 6
3:11pm,Pride of Lion crossed road.,"H4-2, 5km N of S130, S entrance Near Crocodile Bridge",5/5,Ray,"Dec 6, 2023 · 1:51 PM UTC",Dec 6
2:51pm,2 Tawny Eagle stationary,"H3, 300m N of S110 tar Near Malelane",5/5,Followyourtrip,"Dec 6, 2023 · 1:05 PM UTC",Dec 6
2:53pm,5 Lion on the move,"S28, 700m from H4-2, S entrance Near Crocodile Bridge",5/5,Jandre,"Dec 6, 2023 · 1:03 PM UTC",Dec 6
2:39pm,2 Spotted Hyena on the move,"H4-2, 2.7km S of S130, S entrance Near Crocodile Bridge",5/5,GTrain,"Dec 6, 2023 · 12:49 PM UTC",Dec 6
2:30pm,2 Lion hunting,"""They tried to hunt but failed. Still on the move."" S25, 1.3km W of S27 Near Crocodile Bridge",1/5,ToyahM,"Dec 6, 2023 · 12:46 PM UTC",Dec 6
2:11pm,2 Lion on the move,"""They were initially stationary, now they are mobile."" S25, 1.2km W of S27 Near Crocodile Bridge",2/5,ToyahM,"Dec 6, 2023 · 12:46 PM UTC",Dec 6
11:55am,1 Lion stationary,"""Male."" S50, 1.5km S of Mooiplaas Loop Near Mopani",3/5,Dolph sk,"Dec 6, 2023 · 12:24 PM UTC",Dec 6
11:30am,2 Lion stationary,"""Lioness."" S50, at the Nshawu 3 waterhole Near Mopani",5/5,Dolph sk,"Dec 6, 2023 · 12:24 PM UTC",Dec 6
7:58am,2 African Comb Ducks feeding,"S61, at the Klopperfontein Dam Near Punda Maria",5/5,DecklanJordaan,"Dec 6, 2023 · 12:14 PM UTC",Dec 6
11:28am,1 Dickinson's Kestrel stationary,"H1-8, 4.2km N of S61 Near Punda Maria",5/5,DecklanJordaan,"Dec 6, 2023 · 12:14 PM UTC",Dec 6
7:56am,1 Greater painted Snipe stationary,"S61, at the Klopperfontein Dam Near Punda Maria",5/5,DecklanJordaan,"Dec 6, 2023 · 12:13 PM UTC",Dec 6
7:55am,13 Lark-like buntings drinking,"S61, at the Klopperfontein Dam Near Punda Maria",5/5,DecklanJordaan,"Dec 6, 2023 · 12:13 PM UTC",Dec 6
11:31am,8 Lions sleeping,"""Next to the road."" H6, 6km from H1-3 Near Satara",5/5,Rifko_88,"Dec 6, 2023 · 10:13 AM UTC",Dec 6
9:00am,3 Lions stationary,"At the Leeupan turnoff, near H1-2 Near Skukuza",5/5,Fiona,"Dec 6, 2023 · 10:09 AM UTC",Dec 6
10:56am,4 Lions stationary,"""Still chilling."" S28, 2km from H4-2, S entrance Near Crocodile Bridge",4/5,ToyahM,"Dec 6, 2023 · 9:06 AM UTC",Dec 6
10:40am,1 Lion stationary,"""Below a tree lying in the grass, 10 meters on the right-hand side."" S110 tar, 300m from Berg en Dal",2/5,Cheis123456,"Dec 6, 2023 · 8:58 AM UTC",Dec 6
10:49am,4 Lions stationary,"S28, 2km from H4-2, S entrance Near Crocodile Bridge",5/5,Stoutgat,"Dec 6, 2023 · 8:58 AM UTC",Dec 6
9:21am,100 plus Buffalo crossed road,"""A huge herd."" S26, 1.2km from S25 Near Crocodile Bridge",5/5,KopiteonSafari,"Dec 6, 2023 · 7:41 AM UTC",Dec 6
9:08am,5 plus Lion on the move,"""The first 5 moved from where they were sitting then after we saw another three coming from across the road looks like another group."" S28, 2km from H4-2, S entrance Near Crocodile Bridge",5/5,ToyahM,"Dec 6, 2023 · 7:29 AM UTC",Dec 6
9:05am,2 Lions sleeping,"""Next to the road in the grass."" S114, 100m S of S25 Near Malelane",5/5,minwyn02,"Dec 6, 2023 · 7:29 AM UTC",Dec 6
7:44am,4 Lions stationary,"""3 males and 1 female relaxing in the sand."" S1, about 5km from Phabeni Gate Near Phabeni",5/5,Tinged by@AyshaMoosa-twitter,"Dec 6, 2023 · 7:12 AM UTC",Dec 6
8:51am,1 Leopard on the move,"""Walking on the road and later moved into the bush. Visibility was 3/5. Lost visual."" S25, 2.4km W of S27 Near Crocodile Bridge",0/5,KopiteonSafari,"Dec 6, 2023 · 7:04 AM UTC",Dec 6
8:48am,5 Lions stationary,"""They were sleeping, now they are just sitting."" S28, 2.2km from H4-2, S entrance Near Crocodile Bridge",4/5,ToyahM,"Dec 6, 2023 · 6:59 AM UTC",Dec 6
7:40am,1 Lion stationary,"""A lioness lying down on the western side of the road."" H1-4, 500m N of S147 Near Olifants",5/5,Alberto - Matimba Lodge,"Dec 6, 2023 · 6:54 AM UTC",Dec 6
6:53am,5 Lion stationary,"S28, 2.2km from H4-2, S entrance Near Crocodile Bridge",4/5,ToyahM,"Dec 6, 2023 · 6:03 AM UTC",Dec 6
7:55am,1 Leopard on the move,"H7, 400m W of S106, W entrance Near Orpen",2/5,Kcmcnairn,"Dec 6, 2023 · 6:03 AM UTC",Dec 6
5:54am,1 Leopard on the move,"""Moving along the road."" H4-1, 450m S of S21 Near Lower Sabie",5/5,jhsteyn,"Dec 6, 2023 · 6:03 AM UTC",Dec 6
5:04am,8 Spotted Hyena playing,"""Very playful."" H1-1, 1km from Numbi Gate",5/5,DawidLamprecht,"Dec 6, 2023 · 5:55 AM UTC",Dec 6
7:10am,2 Black backed Jackal on the move,"H4-2, just N of S25 Near Crocodile Bridge",5/5,KopiteonSafari,"Dec 6, 2023 · 5:43 AM UTC",Dec 6
7:29am,4 Lion stationary,"S28, 3km from H4-2 Near Crocodile Bridge",5/5,Jonas117,"Dec 6, 2023 · 5:43 AM UTC",Dec 6
6:01am,1 Black backed Jackal on the move,"S110 gravel, 2.8km W of S120 Near Berg en Dal",5/5,KP09,"Dec 6, 2023 · 5:31 AM UTC",Dec 6
6:14am,4 Giraffe stationary,"""Standing by the road, easy to spot."" S110 gravel, 2.7km from H3 Near Malelane",5/5,KP09,"Dec 6, 2023 · 5:31 AM UTC",Dec 6
6:50am,2 Lion stationary,"""Young males just lying in the grass."" S114, 3.9km from H3 Near Malelane",3/5,Waseema_manjra,"Dec 6, 2023 · 5:13 AM UTC",Dec 6
6:47am,3 Giraffe stationary,"H11, 900m W of S1 Near Skukuza",5/5,Stoutgat,"Dec 6, 2023 · 5:08 AM UTC",Dec 6
6:58am,2 Spotted Hyena stationary,"H11, at the S42 junction Near Skukuza",5/5,Stoutgat,"Dec 6, 2023 · 5:08 AM UTC",Dec 6
6:50am,2 plus Lion stationary,"""A couple of lions lying near the small bush, visibility is poor due to grass."" S114, 3.9km from H3 Near Malelane",3/5,KP09,"Dec 6, 2023 · 5:07 AM UTC",Dec 6
5:40am,1 Wild Dog feeding,"""Made a kill in front of us. Ate and left within 30 minutes. Loads of vultures eating the carcass."" N entrance of the 3rd loop when coming from Skukuza, no name sand road that's parallel to H4-1",5/5,Hudi,"Dec 6, 2023 · 4:55 AM UTC",Dec 6
5:15am,Pride of Lion hunting,"""Chasing a hippo."" S28, 2km from H4-2, S entrance Near Crocodile Bridge",5/5,Mfundziso Nyambi,"Dec 6, 2023 · 4:38 AM UTC",Dec 6
6:10am,1 Cheetah on the move,"""Update: The cheetah is up and heading southwest looking to hunt. Visibility is getting difficult."" S25, 1km from H4-2 Near Crocodile Bridge",2/5,Kerry - Kruger Pride Safaris,"Dec 6, 2023 · 4:38 AM UTC",Dec 6
5:55am,1 Cheetah stationary,"""On a ridge."" S25, 1km from H4-2 Near Crocodile Bridge",5/5,Jean - Discover Kruger Safaris,"Dec 6, 2023 · 4:38 AM UTC",Dec 6
5:30am,1 Spotted Hyena feeding,"""Chewing something."" S28, 400m from H4-2, S entrance Near Crocodile Bridge",4/5,Kerry - Kruger Pride Safaris,"Dec 6, 2023 · 4:24 AM UTC",Dec 6
5:50am,Pride of Lion stationary,"""Update: The Vurhami pride is still here."" S28, 2.2km from H4-2, S entrance Near Crocodile Bridge",5/5,Kerry - Kruger Pride Safaris,"Dec 6, 2023 · 4:24 AM UTC",Dec 6
5:30am,Pride of Lion stationary,"""Vurhami pride next to the road."" S28, 2.2km from H4-2, S entrance Near Crocodile Bridge",5/5,Jean - Discover Kruger Safaris,"Dec 6, 2023 · 4:24 AM UTC",Dec 6
